54118.5,102.711,-90.5255,252.346,66
117826,293.959,-125.513,-283.71,44
188820,-547.71,-83.7394,843.601,22
220978,148.545,25.4633,178.621,0
44639.5,-51.0865,6.82813,187.612,23
47932.8,40.4916,105.353,129.569,24
83704.8,-27.5173,68.7432,414.942,1
270658,85.9561,-97.5398,411.53,45
413922,-75.1697,268.709,513.897,67
202258,-183.715,-114.367,73.8705,2
125675,290.533,-24.1343,348.185,68
297045,12.9191,616.828,-204.039,46
438139,45.9059,-196.827,126.345,25
135251,-128.642,-96.0596,2.16559,69
383504,44.3628,245.835,71.2622,3
150387,108.579,105.84,73.9513,47
188836,-102.025,24.927,438.777,70
34907.6,-81.0088,15.1658,147.878,71
282667,-8.4487,-33.1935,288.158,4
253249,-94.2489,5.51862,157.193,48
482302,-40.6429,95.5276,60.8937,26
64223.1,-28.5165,-136.777,-80.6318,49
33531.6,106.115,188.092,238.914,28
200706,-151.971,50.4277,185.299,72
3822.54,15.4515,-100.489,98.7454,29
260941,-138.39,-95.142,48.3074,50
329399,20.1633,23.2256,224.853,73
125789,24.0025,26.6868,72.202,51
239774,95.7329,41.3146,147.137,30
664915,357.444,59.7403,-89.719,5
54889.9,-307.323,-37.7609,170.511,74
135035,167.683,-42.4123,120.638,52
120924,-51.4363,286.455,146.773,53
149624,183.077,-100.882,188.32,75
260475,210.464,47.8871,170.896,31
32548.7,133.562,-142.027,198.643,76
8542.7,-100.24,72.1564,98.2031,77
81946,-65.313,-225.731,264.136,32
116722,-8.77681,-91.4531,41.2352,54
417524,116.956,44.3245,108.456,6
112842,22.6973,72.4631,236.988,78
60264.9,-104.709,55.7221,110.851,33
34998.3,-65.0557,18.1986,298.507,34
61985.6,137.704,-22.7383,95.1834,79
18620.5,23.8061,30.7765,357.797,8
89451.8,-41.195,80.5856,321.384,56
114189,-82.7962,-41.8653,330.084,36
174530,-12.6088,52.3302,508.46,57
255009,-89.5659,-27.9719,182.519,81
91942.1,-273.63,104.287,-40.3305,82
371104,-96.9113,80.8511,-51.8895,9
17638.9,20.6772,-203.086,49.0707,10
203275,101.369,-62.7055,1059.24,83
116600,-9.00512,-7.82807,69.9975,84
601553,95.2178,-1.9164,214.157,37
128637,-29.4722,101.354,258.704,11
9576.95,22.8909,28.4491,159.635,12
651950,-12.0567,-41.1957,153.283,58
11562,-135.812,9.55348,420.448,59
282339,-200.326,-361.411,164.559,38
401006,147.202,-6.88629,356.06,13
175200,-107.05,81.1197,235.118,60
106753,-92.8662,265.729,201.202,14
60326.6,-37.4326,76.3673,-6.89141,61
225426,54.2796,437.765,435.47,39
227078,-123.968,-194.171,268.029,85
84089.6,-67.2549,266.023,207.756,15
39236.9,-288.209,194.329,455.098,40
142986,48.4423,-16.2892,255.438,86
224456,-216.696,-85.2823,47.9894,41
618799,-70.2895,-43.4012,3.24623,62
29947.8,-34.5213,-113.645,199.639,87
173682,-33.9038,19.7546,532.299,63
260580,-123.713,28.2188,70.178,42
1.07351e+06,-99.9635,246.108,-150.135,18
