t,x,y,z,eventid,counteid
138.13,-0.0502582,-0.038897100000000004,0.148145,22,4
155.429,0.07372880000000001,-0.165995,0.0581094,44,1
238.039,-0.000446725,-0.12514,-0.0659629,0,3
62.3399,-0.034752200000000004,-0.098897,0.0678433,22,4
342.976,-0.626347,0.43815,2.97347,66,1
