rho,z,t
0.0006808291128609427,0.000600559125,0.058025166365000005
0.00013093789395260042,0.000308607085,0.190367121485
8.094778314275111e-05,0.00045458310499999995,0.17382437709500004
0.00023091811557229898,0.00023561907499999998,0.17382437709500004
0.0001809280047624497,0.000527571115,0.4881365205050001
0.0026304434344450647,0.002644223405,0.008396933195000001
3.0957672332901824e-05,0.0008925111649999999,0.256538099045
0.00048086866962154546,0.000600559125,0.09111065514500001
0.00013093789395260042,0.0016953792749999999,0.372337309775
0.00013093789395260042,0.0009654991749999999,0.07456791075500001
0.0002809082263821483,0.001403427235,0.14073888831500003
0.00013093789395260042,0.000527571115,0.23999535465500005
8.094778314275111e-05,0.000527571115,0.6535639644050002
0.0002809082263821483,0.0017683672849999998,0.09111065514500001
8.094778314275111e-05,0.000600559125,0.10765339953500001
3.0957672332901824e-05,0.0006735471349999999,0.07456791075500001
0.00013093789395260042,0.0011114751949999999,0.33925182099500006
0.0001809280047624497,0.000746535145,0.157281632705
0.00013093789395260042,0.000527571115,0.22345261026500002
0.00023091811557229898,0.000308607085,0.5708502424550002
0.0006808291128609427,0.001038487185,0.17382437709500004
0.0003808884480018469,0.00045458310499999995,0.07456791075500001
0.0005808488912412441,0.00038159509500000004,0.008396933195000001
0.0004308785588116961,-5.633296500000001e-05,0.5873929868450001
0.00033089833719199757,0.000819523155,0.45505103172500005
0.0006808291128609427,0.001038487185,0.22345261026500002
0.0016306412182480793,0.002133307335,0.008396933195000001
0.0005808488912412441,0.000527571115,0.256538099045
0.0002809082263821483,0.000308607085,0.07456791075500001
0.00013093789395260042,0.001403427235,0.190367121485
0.00048086866962154546,0.001330439225,0.14073888831500003
8.094778314275111e-05,0.000308607085,0.4715937761150001
0.0003808884480018469,0.000819523155,0.190367121485
0.0005808488912412441,0.001257451215,0.17382437709500004
8.094778314275111e-05,1.6655045000000005e-05,0.12419614392500002
0.0005808488912412441,0.000527571115,0.5708502424550002
0.0018805917722973257,0.002571235395,0.20690986587500004
3.0957672332901824e-05,0.001257451215,0.09111065514500001
0.00048086866962154546,0.0009654991749999999,0.12419614392500002
0.0014806708858185313,0.002279283355,0.10765339953500001
0.0013307005533889835,0.002644223405,0.008396933195000001
