88264.5,1708.85,-398.922,4902.61
163791,-178.2,-24.0487,1145.23
371044,-30.6349,90.4845,10.5458
239806,-669.215,-497.289,1866.34
35287.3,42.387,1257.92,2091.33
484473,-1245.86,-1336.7,3697.42
317657,-140.858,388.407,643.521
1.02863e+06,-16.6883,40.892,1395.01
663137,-33.5546,-332.567,1055.79
201948,1046.13,238.77,1201.72
69969.6,-159.747,281.869,1144.99
11543.4,-117.241,-521.738,1811.51
31548.2,290.539,248.355,333.866
304333,-82.4656,-35.5647,631.544
26792.6,-188.285,-161.612,2440.74
301660,147.078,-147.305,254.436
55910,11.5279,-92.9501,254.824
215641,-307.787,490.924,949.432
110753,99.5881,90.3851,1093.65
143256,-179.523,-477.326,905.026
17495.9,-34.2202,-18.8484,753.62
215682,-686.615,2515.05,3324.84
84652.9,-26.092,53.3249,1130.6
399102,-173.751,-52.248,1226.31
192183,-334.211,160.74,834.071
315130,42.1852,30.3293,624.161
205703,110.93,-92.0037,1133.99
32271.5,-400.769,1158.77,4329.28
571046,-17.9267,272.196,464.546
